0,20146
1,10752
2,9837
3,9874
4,9293
5,9091
6,8796
7,8588
8,8340
9,8184
10,7845
11,7703
12,7447
13,7394
14,7265
15,7025
16,6959
17,6773
18,6712
19,6610
20,6428
21,6359
22,6179
23,6114
24,6129
25,6006
26,5960
27,5935
28,5843
29,5863
30,5625
31,5790
32,5708
33,5730
34,5638
35,5555
36,5571
37,5420
38,5436
39,5400
40,5342
41,5239
42,5202
43,5139
44,5164
45,5156
46,5230
47,5143
48,5128
49,5086
50,5008
51,4932
52,4830
53,4843
54,4723
55,4767
56,4748
57,4740
58,4627
59,4707
60,4643
61,4689
62,4629
63,4517
64,4608
65,4492
66,4507
67,4436
68,4442
69,4305
70,4535
71,4416
72,4482
73,4292
74,4493
75,4340
76,4303
77,4330
78,4315
79,4209
80,4200
81,4268
82,4135
83,4221
84,4216
85,4186
86,4156
87,4125
88,4194
89,4043
90,4092
91,4092
92,4129
93,4103
94,4257
95,4063
96,4137
97,3974
98,3927
99,3891
100,3882
101,3774
102,3773
103,3778
104,3720
105,3649
106,3579
107,3656
108,3678
109,3669
110,3659
111,3694
112,3659
113,3672
114,3710
115,3575
116,3529
117,3496
118,3519
119,3584
120,3624
121,3587
122,3555
123,3531
124,3572
125,3535
126,3484
127,3446
128,3428
129,3525
130,3541
131,3489
132,3485
133,3405
134,3321
135,3447
136,3267
137,3222
138,3163
139,3100
140,3026
141,3062
142,3048
143,3092
144,3134
145,3066
146,3085
147,3090
148,3068
149,3193
150,3148
151,3198
152,3101
153,3138
154,3144
155,3207
156,3269
157,3230
158,3245
159,3240
160,3175
161,3206
162,3211
163,3210
164,3211
165,3148
166,3153
167,3165
168,3206
169,3198
170,3235
171,3224
172,3261
173,3284
174,3314
175,3272
176,3252
177,3172
178,3253
179,3180
180,3215
181,3160
182,3224
183,3067
184,3105
185,3061
186,3108
187,2978
188,3005
189,3030
190,2904
191,2892
192,2748
193,2759
194,2710
195,2633
196,2637
197,2617
198,2671
199,2651
200,2714
201,2712
202,2686
203,2676
204,2735
205,2695
206,2759
207,2670
208,2733
209,2690
210,2781
211,2751
212,2783
213,2741
214,2781
215,2813
216,2777
217,2807
218,2721
219,2790
220,2755
221,2748
222,2670
223,2754
224,2618
225,2677
226,2674
227,2728
228,2674
229,2714
230,2626
231,2674
232,2650
233,2701
234,2583
235,2609
236,2575
237,2611
238,2599
239,2659
240,2603
241,2633
242,2554
243,2678
244,2586
245,2720
246,2637
247,2667
248,2554
249,2607
250,2519
251,2595
252,2587
253,2593
254,2619
255,2641
256,2679
257,2675
258,2704
259,2652
260,2712
261,2683
262,2741
263,2758
264,2794
265,2884
266,2864
267,2777
268,2848
269,2808
270,2819
271,2762
272,2754
273,2744
274,2762
275,2751
276,2697
277,2737
278,2742
279,2722
280,2687
281,2654
282,2682
283,2736
284,2734
285,2692
286,2699
287,2684
288,2646
289,2627
290,2607
291,2541
292,2444
293,2530
294,2490
295,2557
296,2486
297,2538
298,2525
299,2524
300,2588
301,2562
302,2577
303,2564
304,2601
305,2592
306,2596
307,2608
308,2580
309,2604
310,2613
311,2588
312,2646
313,2589
314,2593
315,2546
316,2610
317,2542
318,2632
319,2641
320,2607
321,2620
322,2679
323,2635
324,2664
325,2703
326,2702
327,2677
328,2669
329,2696
330,2636
331,2671
332,2749
333,2766
334,2852
335,2785
336,2753
337,2712
338,2702
339,2648
340,2652
341,2649
342,2637
343,2628
344,2616
345,2621
346,2661
347,2657
348,2630
349,2642
350,2735
351,2711
352,2702
353,2730
354,2697
355,2748
356,2735
357,2714
358,2748
359,2747
360,2843
361,2791
362,2816
363,2769
364,2778
365,2771
366,2774
367,2741
368,2746
369,2683
370,2662
371,2662
372,2623
373,2683
374,2677
375,2672
376,2671
377,2574
378,2666
379,2580
380,2512
381,2530
382,2565
383,2550
384,2565
385,2533
386,2609
387,2584
388,2656
389,2596
390,2572
391,2603
392,2598
393,2615
394,2586
395,2630
396,2580
397,2640
398,2583
399,2566
400,2531
401,2480
402,2491
403,2460
404,2466
405,2430
406,2451
407,2420
408,2487
409,2424
410,2429
411,2421
412,2464
413,2477
414,2490
415,2438
416,2437
417,2479
418,2463
419,2479
420,2395
421,2433
422,2380
423,2426
424,2419
425,2420
426,2373
427,2363
428,2332
429,2255
430,2216
431,2250
432,2218
433,2269
434,2248
435,2199
436,2150
437,2190
438,2212
439,2131
440,2104
441,2147
442,2149
443,2175
444,2170
445,2170
446,2112
447,2137
448,2112
449,2152
450,2141
451,2159
452,2159
453,2103
454,2135
455,2143
456,2162
457,2173
458,2170
459,2217
460,2158
461,2134
462,2150
463,2161
464,2166
465,2159
466,2209
467,2213
468,2180
469,2154
470,2195
471,2193
472,2177
473,2202
474,2217
475,2204
476,2231
477,2200
478,2245
479,2221
480,2212
481,2206
482,2193
483,2233
484,2211
485,2204
486,2183
487,2211
488,2171
489,2256
490,2181
491,2222
492,2202
493,2232
494,2196
495,2252
496,2240
497,2275
498,2251
499,2238
500,2216
501,2283
502,2230
503,2237
504,2260
505,2260
506,2251
507,2274
508,2219
509,2199
510,2175
511,2146
512,2103
513,2100
514,2134
515,2139
516,2125
517,2203
518,2128
519,2132
520,2074
521,2062
522,2053
523,2054
524,2058
525,2057
526,2039
527,2080
528,2091
529,2061
530,2098
531,2122
532,2084
533,2052
534,2084
535,2073
536,2114
537,2111
538,2160
539,2120
